zip-code,rebate-usd,lat,lng,median-household-income,mean-household-income,population
29306,100,34.8693395,-81.9207423,28353,43538,15861
60602,80,41.8834728,-87.6291268,93646,131300,1204
37760,90,36.1055775,-83.4430118,34353,45527,12931
60491,80,41.6131315,-87.962884,93282,107037,22743
78417,156,27.729407,-97.4651828,40410,48369,4176
27604,100,35.8150476,-78.5774408,47787,58822,32223
90260,83,33.8922687,-118.3520389,50882,61980,34924
15857,100,41.4634516,-78.52065,46265,55770,14595
91801,83,34.0837958,-118.1181199,50111,63586,52735
5656,100,44.6720759,-72.6933975,28409,40503,3508
15823,100,41.2550424,-78.713608,46191,52869,1466
27536,100,36.3338756,-78.3955986,27796,38009,18516
19506,100,40.4593908,-76.1088001,63640,71032,7561
55414,100,44.978175,-93.2157342,29669,46747,23579
96762,100,21.5999855,-157.9404397,75417,80417,6419
71758,100,33.2920602,-92.9175955,49500,60965,450
72903,100,35.3447622,-94.3667907,43626,62021,26148
25981,100,38.0664173,-80.7325287,31355,39889,951
35490,100,33.2507984,-87.2419299,56726,68368,3857
72015,100,34.4918643,-92.6090043,45173,53924,27307
4363,100,44.2910259,-69.5699752,44747,58015,2206
28606,100,36.0567173,-81.3179364,35552,48489,2066
75041,156,32.8778842,-96.649522,43637,52568,30700
83647,100,43.1327549,-115.6912313,49981,56078,20789
28778,100,35.6108066,-82.4102628,46062,52127,9239
40272,100,38.0950217,-85.8281458,44898,51386,37394
24503,100,37.4564163,-79.2563916,63102,92510,19331
15052,100,40.6734684,-80.4437781,50070,59531,3735
24361,100,36.7733344,-81.8770671,44330,53530,5431
51237,88,43.3456274,-96.0044121,47726,52397,1703
62074,100,38.9663742,-89.6816208,53947,63642,1087
36804,100,32.564021,-85.3342973,41755,53125,16861
7931,90,40.7036716,-74.6458987,144169,233241,3323
71846,100,33.8620874,-94.1104449,33961,52034,2652
87023,100,34.5961904,-106.7647475,28295,44037,649
75751,156,32.2047886,-95.8526901,34706,47879,17253
79357,100,33.5816521,-101.3885001,30448,40995,2303
60421,80,41.4044367,-88.1071651,73739,76485,3968
30204,95,33.0531651,-84.1224036,35125,45076,13493
46825,100,41.1474763,-85.116815,50524,58930,27931
99402,88,46.1880909,-117.2851677,57091,77979,1875
54940,88,44.2231301,-88.8455037,62783,71325,4020
71118,100,32.4011382,-93.7943157,44150,53069,24761
73568,100,34.2533339,-98.2431747,38959,47707,1341
78073,108,29.2436418,-98.6270628,38623,45954,8171
53226,88,43.0513426,-88.0411993,67408,82081,18370
19465,100,40.2074012,-75.6906241,76697,87887,13988
75481,142,33.3430038,-95.4149003,44194,57326,395
48204,83,42.370326,-83.1380955,24153,33634,41920
41146,100,38.2750384,-82.8909785,32283,43389,412
8080,90,39.7622516,-75.1195107,84764,99252,36440
52057,88,42.5021738,-91.4821482,46013,51166,8222
78224,108,29.3184824,-98.539144,37822,46828,17601
84737,67,37.088313,-113.2394452,53268,63324,14838
16311,100,41.4560087,-80.0199562,45353,51505,512
71373,100,31.3211432,-91.6178011,37419,44120,7358
76549,156,31.0036795,-97.8068851,50059,55029,44314
41763,100,37.0495523,-83.1166438,19560,34624,574
1523,85,42.4850811,-71.6792008,80938,104486,7102
25979,100,37.5555024,-80.9318332,36717,41168,893
31210,95,32.8999858,-83.7411631,62369,84972,30968
63662,63,37.5001437,-90.0093266,45258,54948,1185
49051,83,42.197355,-85.2515482,61028,73141,2081
88256,100,32.1749767,-103.8680047,47276,52472,1858
52769,88,41.6081121,-90.8389252,59793,65890,671
29114,100,33.9511006,-79.9304633,31397,41244,2190
71260,100,32.9233683,-92.2630393,2921,3829,218
16335,100,41.6151426,-80.1428584,39229,50967,28742
76426,156,33.1683909,-97.8503951,53149,61333,11302
68118,110,41.2612334,-96.1686077,112369,139289,8595
4043,100,43.417317,-70.587021,73978,90301,10482
71449,100,31.5572032,-93.5205641,33762,51158,9696
55432,75,45.0935798,-93.2641955,53216,62443,30614
61722,100,40.443816,-88.6530753,59115,67932,549
40385,100,37.758499,-84.1329595,43280,51428,3131
72433,100,36.030397,-91.0490374,31934,36651,3067
90014,67,34.0434783,-118.2519314,13832,30121,7005
8021,90,39.8073767,-75.0026972,55858,63779,45515
68067,100,42.1525061,-96.471658,39062,51461,1397
